Brand,Type,Model,Price,serial_num
PRS,Classical,Telecaster,208.33,WIO085ZV6J
Jackson,Acoustic,JEM,1219.88,44OEIEUHMQ
Epiphone,Electric,Les Paul,366.81,TRKW9CKN9J
Schecter,Electric,Stratocaster,794.04,QARNMLHQIA
Gibson,Bass,Explorer,1027.81,B3D8BQVT5H
PRS,Bass,Explorer,232.15,TY1USNOB2J
Ibanez,Acoustic,Warlock,1505.46,EUG370N4BA
Jackson,Classical,JEM,1339.83,1EV19EQNED
PRS,Classical,Telecaster,902.46,Q2AOP098DO
Ibanez,Classical,Telecaster,57.31,B145JEGDHF
Gibson,Classical,Telecaster,1893.08,1TE1IWTU4R
Epiphone,Bass,Flying V,274.45,Z8E8XQHKI5
Fender,Classical,SG,736.85,UPZ75CMXTA
Schecter,Bass,Explorer,1231.81,PPNO4II1RZ
Jackson,Acoustic,Stratocaster,575.47,6XJXMJYAMK
Fender,Classical,Les Paul,863.85,66VBXSUNO3
Epiphone,Bass,Flying V,951.11,2V6MHM9YD9
Jackson,Electric,Les Paul,409.53,72YES2MBQG
Jackson,Electric,Flying V,1001.03,IYY7A7NR42
Fender,Acoustic,PRS Custom 24,1258.7,TF9LA8XXUD
Schecter,Classical,Les Paul,933.65,A15QBJMZ0L
Epiphone,Bass,Explorer,1243.64,FC3ZMPZ85W
Fender,Electric,Les Paul,1819.51,JQ5MJSQXSR
Jackson,Bass,Telecaster,1767.56,KY9UAHKJ9Q
Jackson,Acoustic,SG,1682.94,UARZMUOIOC
Schecter,Classical,Explorer,582.79,4TMGF56ZKR
Ibanez,Electric,Telecaster,1518.39,7TJM7BODXB
Epiphone,Classical,Warlock,1977.15,7CCFT6NTXH
ESP,Acoustic,JEM,1482.79,O1PVI8K67E
Epiphone,Electric,SG,391.44,YNXPCD0DSU
Jackson,Electric,SG,459.62,QAY23AN4VR
PRS,Bass,SG,1630.39,NM00OGMDOO
Ibanez,Bass,Telecaster,338.34,YQHARX4WAF
Ibanez,Acoustic,Flying V,224.94,N5TTKEHMM6
Schecter,Bass,JEM,78.56,3LRZ11LU89
